iso3,indicator,year,age,residence,wealth_quintile,value,OfficialName,Status.U5MR,total_birth
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,18.7,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,10,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,14.2,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,15.2,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,20.7,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,37.7,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,R: Rural,_T: Total,24.2,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,U: Urban,_T: Total,40.8,Afghanistan,Acceleration Needed,1447
AFG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,27.6,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,57.6,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,30.1,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,42.6,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,54.9,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,67.8,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,85.5,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,R: Rural,_T: Total,57.7,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,U: Urban,_T: Total,87.6,Afghanistan,Acceleration Needed,1447
AFG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,61.8,Afghanistan,Acceleration Needed,1447
AIA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,100,Anguilla,Achieved,0
ALB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,72.1,Albania,Achieved,29
